"employeeId","employeeName","punchTime","IOType","punchMode","eventStatus","punchDate"
5567,"Shylesh","09:00:00","IN","Card","Allowed","2022-07-11"
5564,"Abhilash N","09:20:00","IN","Card","Allowed","2022-07-11"
5340,"Meenakshi B","09:30:00","IN","Card","Allowed","2022-07-11"
5555,"Darth Vader","09:40:00","IN","Card","Allowed","2022-07-11"
5567,"Shylesh T","12:30:00","OUT","Card","Allowed","2022-07-11"
5340,"Meenakshi B","13:00:00","OUT","Card","Allowed","2022-07-11"
5555,"Darth Vader","13:10:00","OUT","Card","Allowed","2022-07-11"
5567,"Shylesh T","13:30:00","IN","Card","Allowed","2022-07-11"
5340,"Meenakshi B","13:50:00","IN","Card","Allowed","2022-07-11"
5555,"Darth Vader","14:00:00","IN","Card","Allowed","2022-07-11"
5567,"Shylesh T","18:40:00","OUT","Card","Allowed","2022-07-11"
5555,"Darth Vader","18:50:00","OUT","Card","Allowed","2022-07-11"
5564,"Abhilash N","19:00:00","OUT","Card","Allowed","2022-07-11"
5340,"Meenakshi B","19:10:00","OUT","Card","Allowed","2022-07-11"
